,LocationID,zone,borough,number_of_schools,number_of_pois,number_of_universities
131,132,JFK Airport,Queens,0,37,0
132,133,Kensington,Brooklyn,5,20,0
133,134,Kew Gardens,Queens,1,43,0
134,135,Kew Gardens Hills,Queens,12,81,3
135,136,Kingsbridge Heights,Bronx,6,47,0
136,137,Kips Bay,Manhattan,1,64,0
137,138,LaGuardia Airport,Queens,0,11,0
138,139,Laurelton,Queens,5,25,0
139,140,Lenox Hill East,Manhattan,4,82,3
140,141,Lenox Hill West,Manhattan,7,59,1
141,142,Lincoln Square East,Manhattan,1,100,1
142,143,Lincoln Square West,Manhattan,9,80,1
143,144,Little Italy/NoLiTa,Manhattan,1,31,1
144,145,Long Island City/Hunters Point,Queens,5,86,0
145,146,Long Island City/Queens Plaza,Queens,8,24,0
146,147,Longwood,Bronx,14,60,0
147,148,Lower East Side,Manhattan,15,74,0
148,149,Madison,Brooklyn,3,37,0
149,150,Manhattan Beach,Brooklyn,3,63,0
150,151,Manhattan Valley,Manhattan,3,83,0
151,152,Manhattanville,Manhattan,14,85,1
152,153,Marble Hill,Manhattan,8,37,0
153,154,Marine Park/Floyd Bennett Field,Brooklyn,2,41,0
154,155,Marine Park/Mill Basin,Brooklyn,7,67,0
155,156,Mariners Harbor,Staten Island,3,86,0
156,157,Maspeth,Queens,6,50,0
157,158,Meatpacking/West Village West,Manhattan,1,27,0
158,159,Melrose South,Bronx,29,130,1
159,160,Middle Village,Queens,3,58,0
160,161,Midtown Center,Manhattan,0,80,1
161,162,Midtown East,Manhattan,0,73,0
162,163,Midtown North,Manhattan,0,45,0
163,164,Midtown South,Manhattan,0,55,1
164,165,Midwood,Brooklyn,7,53,0
165,166,Morningside Heights,Manhattan,5,167,6
166,167,Morrisania/Melrose,Bronx,20,126,0
167,168,Mott Haven/Port Morris,Bronx,35,252,1
168,169,Mount Hope,Bronx,10,75,0
169,170,Murray Hill,Manhattan,3,83,0
170,171,Murray Hill-Queens,Queens,6,58,0
171,172,New Dorp/Midland Beach,Staten Island,5,57,0
172,173,North Corona,Queens,9,40,0
173,174,Norwood,Bronx,9,45,0
174,175,Oakland Gardens,Queens,7,46,1
175,176,Oakwood,Staten Island,2,26,0
176,177,Ocean Hill,Brooklyn,11,126,0
177,178,Ocean Parkway South,Brooklyn,1,17,0
178,179,Old Astoria,Queens,6,67,0
179,180,Ozone Park,Queens,6,29,0
180,181,Park Slope,Brooklyn,17,101,0
181,182,Parkchester,Bronx,4,21,0
182,183,Pelham Bay,Bronx,2,14,0
183,184,Pelham Bay Park,Bronx,0,93,0
184,185,Pelham Parkway,Bronx,7,42,0
185,186,Penn Station/Madison Sq West,Manhattan,3,35,2
186,187,Port Richmond,Staten Island,5,47,0
187,188,Prospect-Lefferts Gardens,Brooklyn,14,113,0
188,189,Prospect Heights,Brooklyn,5,34,0
189,190,Prospect Park,Brooklyn,0,107,0
190,191,Queens Village,Queens,4,56,0
191,192,Queensboro Hill,Queens,2,23,0
192,193,Queensbridge/Ravenswood,Queens,3,84,0
193,194,Randalls Island,Manhattan,0,205,0
